,school,date,count,school_year
478,UF,2011-03-25,0,2010-2011
479,UF,2011-03-28,1,2010-2011
480,UF,2011-03-29,1,2010-2011
481,UF,2011-03-30,1,2010-2011
482,UF,2011-03-31,0,2010-2011
483,UF,2011-04-01,0,2010-2011
484,UF,2011-04-04,0,2010-2011
485,UF,2011-04-05,0,2010-2011
486,UF,2011-04-06,1,2010-2011
487,UF,2011-04-08,0,2010-2011
488,UF,2011-04-11,0,2010-2011
489,UF,2011-04-12,0,2010-2011
490,UF,2011-04-13,1,2010-2011
491,UF,2011-04-14,0,2010-2011
492,UF,2011-04-15,0,2010-2011
493,UF,2011-04-18,0,2010-2011
494,UF,2011-04-19,0,2010-2011
495,UF,2011-04-20,0,2010-2011
496,UF,2011-05-10,1,2010-2011
497,UF,2011-05-12,0,2010-2011
498,UF,2011-05-17,0,2010-2011
499,UF,2011-05-19,0,2010-2011
500,UF,2011-05-24,0,2010-2011
501,UF,2011-05-26,0,2010-2011
502,UF,2011-05-31,0,2010-2011
503,UF,2011-06-02,0,2010-2011
504,UF,2011-06-05,0,2010-2011
505,UF,2011-06-07,0,2010-2011
506,UF,2011-06-12,0,2010-2011
507,UF,2011-06-14,0,2010-2011
508,UF,2011-07-07,0,2010-2011
509,UF,2011-07-09,0,2010-2011
510,UF,2011-07-14,0,2010-2011
511,UF,2011-07-16,0,2010-2011
512,UF,2011-07-28,0,2010-2011
513,UF,2011-07-30,1,2010-2011
514,UF,2011-08-22,0,2011-2012
515,UF,2011-08-23,1,2011-2012
516,UF,2011-08-24,1,2011-2012
517,UF,2011-08-25,0,2011-2012
518,UF,2011-08-26,1,2011-2012
519,UF,2011-08-29,0,2011-2012
520,UF,2011-08-30,1,2011-2012
521,UF,2011-08-31,1,2011-2012
522,UF,2011-09-01,1,2011-2012
523,UF,2011-09-02,1,2011-2012
524,UF,2011-09-06,0,2011-2012
525,UF,2011-09-07,0,2011-2012
526,UF,2011-09-08,0,2011-2012
527,UF,2011-09-09,1,2011-2012
528,UF,2011-09-12,0,2011-2012
529,UF,2011-09-13,1,2011-2012
530,UF,2011-09-14,1,2011-2012
531,UF,2011-09-15,0,2011-2012
532,UF,2011-09-16,0,2011-2012
533,UF,2011-09-19,0,2011-2012
534,UF,2011-09-20,0,2011-2012
535,UF,2011-09-21,1,2011-2012
536,UF,2011-09-22,0,2011-2012
537,UF,2011-09-23,0,2011-2012
538,UF,2011-09-26,0,2011-2012
539,UF,2011-09-27,0,2011-2012
540,UF,2011-09-28,1,2011-2012
541,UF,2011-09-29,1,2011-2012
542,UF,2011-09-30,1,2011-2012
543,UF,2011-10-03,0,2011-2012
544,UF,2011-10-04,0,2011-2012
545,UF,2011-10-05,0,2011-2012
546,UF,2011-10-06,0,2011-2012
547,UF,2011-10-07,0,2011-2012
548,UF,2011-10-10,0,2011-2012
549,UF,2011-10-11,1,2011-2012
550,UF,2011-10-12,0,2011-2012
551,UF,2011-10-13,0,2011-2012
552,UF,2011-10-14,1,2011-2012
553,UF,2011-10-17,0,2011-2012
554,UF,2011-10-18,0,2011-2012
555,UF,2011-10-19,1,2011-2012
556,UF,2011-10-20,0,2011-2012
557,UF,2011-10-21,0,2011-2012
558,UF,2011-10-24,0,2011-2012
559,UF,2011-10-25,0,2011-2012
560,UF,2011-10-26,1,2011-2012
561,UF,2011-10-27,0,2011-2012
562,UF,2011-10-28,1,2011-2012
563,UF,2011-10-29,0,2011-2012
564,UF,2011-11-01,0,2011-2012
565,UF,2011-11-02,0,2011-2012
566,UF,2011-11-03,0,2011-2012
567,UF,2011-11-04,0,2011-2012
568,UF,2011-11-07,0,2011-2012
569,UF,2011-11-08,1,2011-2012
570,UF,2011-11-09,1,2011-2012
571,UF,2011-11-10,0,2011-2012
572,UF,2011-11-14,1,2011-2012
573,UF,2011-11-15,1,2011-2012
574,UF,2011-11-16,1,2011-2012
575,UF,2011-11-17,1,2011-2012
576,UF,2011-11-18,0,2011-2012
577,UF,2011-11-21,0,2011-2012
578,UF,2011-11-22,0,2011-2012
579,UF,2011-11-23,0,2011-2012
580,UF,2011-11-28,0,2011-2012
581,UF,2011-11-29,0,2011-2012
582,UF,2011-11-30,1,2011-2012
583,UF,2011-12-01,0,2011-2012
584,UF,2011-12-02,0,2011-2012
585,UF,2011-12-05,1,2011-2012
586,UF,2011-12-06,0,2011-2012
587,UF,2011-12-07,0,2011-2012
588,UF,2012-01-09,0,2011-2012
589,UF,2012-01-10,0,2011-2012
590,UF,2012-01-11,0,2011-2012
591,UF,2012-01-12,0,2011-2012
592,UF,2012-01-13,0,2011-2012
593,UF,2012-01-17,0,2011-2012
594,UF,2012-01-18,0,2011-2012
595,UF,2012-01-19,0,2011-2012
596,UF,2012-01-20,0,2011-2012
597,UF,2012-01-23,0,2011-2012
598,UF,2012-01-24,0,2011-2012
599,UF,2012-01-25,1,2011-2012
600,UF,2012-01-26,1,2011-2012
601,UF,2012-01-27,1,2011-2012
602,UF,2012-01-30,1,2011-2012
603,UF,2012-01-31,0,2011-2012
604,UF,2012-02-01,1,2011-2012
605,UF,2012-02-02,0,2011-2012
606,UF,2012-02-03,0,2011-2012
607,UF,2012-02-06,1,2011-2012
608,UF,2012-02-07,1,2011-2012
609,UF,2012-02-08,0,2011-2012
610,UF,2012-02-09,0,2011-2012
611,UF,2012-02-10,1,2011-2012
612,UF,2012-02-13,1,2011-2012
613,UF,2012-02-14,0,2011-2012
614,UF,2012-02-15,1,2011-2012
615,UF,2012-02-16,1,2011-2012
616,UF,2012-02-17,1,2011-2012
617,UF,2012-02-20,0,2011-2012
618,UF,2012-02-21,0,2011-2012
619,UF,2012-02-22,0,2011-2012
620,UF,2012-02-23,1,2011-2012
621,UF,2012-02-24,0,2011-2012
622,UF,2012-02-27,1,2011-2012
623,UF,2012-02-28,1,2011-2012
624,UF,2012-02-29,0,2011-2012
625,UF,2012-03-01,0,2011-2012
626,UF,2012-03-02,0,2011-2012
627,UF,2012-03-12,0,2011-2012
628,UF,2012-03-13,0,2011-2012
629,UF,2012-03-14,0,2011-2012
630,UF,2012-03-15,1,2011-2012
631,UF,2012-03-16,0,2011-2012
632,UF,2012-03-19,1,2011-2012
633,UF,2012-03-20,1,2011-2012
634,UF,2012-03-21,0,2011-2012
635,UF,2012-03-22,0,2011-2012
636,UF,2012-03-23,0,2011-2012
637,UF,2012-03-26,0,2011-2012
638,UF,2012-03-27,0,2011-2012
639,UF,2012-03-28,0,2011-2012
640,UF,2012-03-29,0,2011-2012
641,UF,2012-03-30,0,2011-2012
642,UF,2012-04-02,0,2011-2012
643,UF,2012-04-03,0,2011-2012
644,UF,2012-04-04,1,2011-2012
645,UF,2012-04-05,1,2011-2012
646,UF,2012-04-06,1,2011-2012
647,UF,2012-04-09,0,2011-2012
648,UF,2012-04-10,0,2011-2012
649,UF,2012-04-11,1,2011-2012
650,UF,2012-04-12,0,2011-2012
651,UF,2012-04-13,1,2011-2012
652,UF,2012-04-16,1,2011-2012
653,UF,2012-04-17,0,2011-2012
654,UF,2012-04-18,1,2011-2012
655,UF,2012-04-19,1,2011-2012
656,UF,2012-04-20,1,2011-2012
657,UF,2012-04-23,0,2011-2012
658,UF,2012-04-24,1,2011-2012
659,UF,2012-04-25,0,2011-2012
660,UF,2012-05-15,0,2011-2012
661,UF,2012-05-17,0,2011-2012
662,UF,2012-05-22,0,2011-2012
663,UF,2012-05-24,0,2011-2012
664,UF,2012-05-29,0,2011-2012
665,UF,2012-05-31,0,2011-2012
666,UF,2012-06-05,0,2011-2012
667,UF,2012-06-07,0,2011-2012
668,UF,2012-06-12,0,2011-2012
669,UF,2012-06-14,1,2011-2012
670,UF,2012-06-19,0,2011-2012
671,UF,2012-06-21,0,2011-2012
672,UF,2012-07-03,1,2011-2012
673,UF,2012-07-05,0,2011-2012
674,UF,2012-07-10,0,2011-2012
675,UF,2012-07-12,0,2011-2012
676,UF,2012-07-17,0,2011-2012
677,UF,2012-07-19,0,2011-2012
678,UF,2012-07-24,0,2011-2012
679,UF,2012-07-26,0,2011-2012
680,UF,2012-08-22,1,2012-2013
681,UF,2012-08-23,1,2012-2013
682,UF,2012-08-24,1,2012-2013
683,UF,2012-08-27,0,2012-2013
684,UF,2012-08-28,0,2012-2013
685,UF,2012-08-29,0,2012-2013
686,UF,2012-08-30,0,2012-2013
687,UF,2012-08-31,1,2012-2013
688,UF,2012-09-04,0,2012-2013
