school,date,count,school_year,month
LIU,2015-05-12,0,2014-2015,2015-05
LIU,2015-05-05,0,2014-2015,2015-05
LIU,2015-06-15,0,2014-2015,2015-06
LIU,2015-06-06,0,2014-2015,2015-06
LIU,2015-06-08,0,2014-2015,2015-06
LIU,2015-08-26,0,2015-2016,2015-08
LIU,2015-09-16,0,2015-2016,2015-09
LIU,2015-09-22,0,2015-2016,2015-09
LIU,2015-09-30,0,2015-2016,2015-09
LIU,2016-10-11,0,2016-2017,2016-10
LIU,2016-10-18,0,2016-2017,2016-10
LIU,2016-10-19,0,2016-2017,2016-10
LIU,2016-10-25,0,2016-2017,2016-10
LIU,2016-10-04,0,2016-2017,2016-10
LIU,2016-10-05,0,2016-2017,2016-10
LIU,2016-11-01,0,2016-2017,2016-11
LIU,2016-11-16,0,2016-2017,2016-11
LIU,2016-11-18,0,2016-2017,2016-11
LIU,2016-11-20,0,2016-2017,2016-11
LIU,2016-11-29,0,2016-2017,2016-11
LIU,2016-11-30,1,2016-2017,2016-11
LIU,2016-11-08,0,2016-2017,2016-11
LIU,2016-11-09,0,2016-2017,2016-11
LIU,2016-12-11,0,2016-2017,2016-12
LIU,2016-12-12,0,2016-2017,2016-12
LIU,2016-12-14,0,2016-2017,2016-12
LIU,2016-12-18,0,2016-2017,2016-12
LIU,2016-12-06,1,2016-2017,2016-12
LIU,2016-12-07,0,2016-2017,2016-12
LIU,2016-01-26,0,2015-2016,2016-01
LIU,2016-01-27,0,2015-2016,2016-01
LIU,2016-01-31,0,2015-2016,2016-01
LIU,2016-02-10,0,2015-2016,2016-02
LIU,2016-02-16,0,2015-2016,2016-02
LIU,2016-02-17,0,2015-2016,2016-02
LIU,2016-02-02,0,2015-2016,2016-02
LIU,2016-02-24,0,2015-2016,2016-02
LIU,2016-02-03,0,2015-2016,2016-02
LIU,2016-02-09,0,2015-2016,2016-02
LIU,2016-03-15,0,2015-2016,2016-03
LIU,2016-03-16,0,2015-2016,2016-03
LIU,2016-03-02,0,2015-2016,2016-03
LIU,2016-03-20,0,2015-2016,2016-03
LIU,2016-03-23,0,2015-2016,2016-03
LIU,2016-03-29,0,2015-2016,2016-03
LIU,2016-03-30,0,2015-2016,2016-03
LIU,2016-03-31,0,2015-2016,2016-03
LIU,2016-04-10,0,2015-2016,2016-04
LIU,2016-04-12,0,2015-2016,2016-04
LIU,2016-04-13,0,2015-2016,2016-04
LIU,2016-04-14,0,2015-2016,2016-04
LIU,2016-04-20,0,2015-2016,2016-04
LIU,2016-04-27,0,2015-2016,2016-04
LIU,2016-04-05,0,2015-2016,2016-04
LIU,2016-04-06,0,2015-2016,2016-04
LIU,2016-05-01,0,2015-2016,2016-05
LIU,2016-05-24,0,2015-2016,2016-05
LIU,2016-05-09,0,2015-2016,2016-05
LIU,2016-06-29,0,2015-2016,2016-06
LIU,2016-06-08,0,2015-2016,2016-06
